Sequence,Volt,Start,Increment
911,4.00000e-01,,
912,4.00000e-01,,
913,2.60000e+00,,
914,3.40000e+00,,
915,8.80000e+00,,
916,7.80000e+00,,
917,8.60000e+00,,
918,7.80000e+00,,
919,8.60000e+00,,
920,7.80000e+00,,
921,8.60000e+00,,
922,8.60000e+00,,
923,7.80000e+00,,
924,7.80000e+00,,
925,8.60000e+00,,
926,8.60000e+00,,
927,7.80000e+00,,
928,7.80000e+00,,
929,8.60000e+00,,
930,7.80000e+00,,
931,8.60000e+00,,
932,7.80000e+00,,
933,8.60000e+00,,
934,7.80000e+00,,
935,8.60000e+00,,
936,7.80000e+00,,
937,8.60000e+00,,
938,7.80000e+00,,
939,8.60000e+00,,
940,8.80000e+00,,
941,7.20000e+00,,
942,6.40000e+00,,
943,4.00000e-01,,
944,4.00000e-01,,
945,8.60000e+00,,
946,8.60000e+00,,
947,7.80000e+00,,
948,7.80000e+00,,
949,8.60000e+00,,
950,8.60000e+00,,
951,7.80000e+00,,
952,7.80000e+00,,
953,8.60000e+00,,
954,8.60000e+00,,
955,7.80000e+00,,
956,7.80000e+00,,
957,8.60000e+00,,
958,7.80000e+00,,
959,8.60000e+00,,
960,8.60000e+00,,
961,7.80000e+00,,
962,7.80000e+00,,
963,8.60000e+00,,
964,8.60000e+00,,
965,7.80000e+00,,
966,7.80000e+00,,
967,8.60000e+00,,
968,7.80000e+00,,
969,8.60000e+00,,
970,7.80000e+00,,
971,8.60000e+00,,
972,8.60000e+00,,
973,4.00000e-01,,
974,4.00000e-01,,
975,4.20000e+00,,
976,4.80000e+00,,
977,8.60000e+00,,
978,7.80000e+00,,
979,8.60000e+00,,
980,8.60000e+00,,
981,7.80000e+00,,
982,7.80000e+00,,
983,8.60000e+00,,
984,7.80000e+00,,
985,8.60000e+00,,
986,7.80000e+00,,
987,8.60000e+00,,
988,7.80000e+00,,
989,8.60000e+00,,
990,7.80000e+00,,
991,8.60000e+00,,
992,8.60000e+00,,
993,7.80000e+00,,
994,8.60000e+00,,
995,7.80000e+00,,
996,8.60000e+00,,
997,7.80000e+00,,
998,7.80000e+00,,
999,8.60000e+00,,
1000,7.80000e+00,,
1001,8.60000e+00,,
1002,8.60000e+00,,
1003,5.00000e+00,,
1004,4.60000e+00,,
1005,4.00000e-01,,
1006,4.00000e-01,,
1007,8.60000e+00,,
1008,8.60000e+00,,
1009,7.80000e+00,,
1010,7.80000e+00,,
1011,8.60000e+00,,
1012,8.60000e+00,,
1013,7.80000e+00,,
1014,7.80000e+00,,
1015,8.60000e+00,,
1016,7.80000e+00,,
1017,8.60000e+00,,
1018,7.80000e+00,,
1019,8.60000e+00,,
1020,8.60000e+00,,
1021,7.80000e+00,,
1022,8.60000e+00,,
1023,7.80000e+00,,
1024,7.80000e+00,,
1025,8.60000e+00,,
1026,8.60000e+00,,
1027,7.80000e+00,,
1028,8.60000e+00,,
1029,7.80000e+00,,
1030,8.60000e+00,,
1031,7.80000e+00,,
1032,8.60000e+00,,
1033,7.80000e+00,,
1034,8.60000e+00,,
1035,4.00000e-01,,
1036,4.00000e-01,,
1037,5.80000e+00,,
1038,6.80000e+00,,
1039,8.60000e+00,,
1040,8.60000e+00,,
1041,7.80000e+00,,
1042,8.60000e+00,,
1043,7.80000e+00,,
1044,8.60000e+00,,
1045,7.80000e+00,,
1046,8.60000e+00,,
1047,7.80000e+00,,
1048,7.80000e+00,,
1049,8.60000e+00,,
1050,8.60000e+00,,
1051,7.80000e+00,,
1052,8.60000e+00,,
1053,7.80000e+00,,
1054,8.60000e+00,,
1055,7.80000e+00,,
1056,8.60000e+00,,
1057,7.80000e+00,,
1058,8.60000e+00,,
1059,7.80000e+00,,
1060,8.60000e+00,,
1061,7.80000e+00,,
1062,8.60000e+00,,
1063,7.80000e+00,,
1064,8.60000e+00,,
1065,3.40000e+00,,
1066,2.40000e+00,,
1067,4.00000e-01,,
1068,4.00000e-01,,
1069,8.60000e+00,,
1070,8.60000e+00,,
1071,7.80000e+00,,
1072,8.60000e+00,,
1073,7.80000e+00,,
1074,8.60000e+00,,
1075,7.80000e+00,,
1076,8.60000e+00,,
1077,7.80000e+00,,
1078,8.60000e+00,,
1079,7.80000e+00,,
